grievance_text,severity,severity_level
no connection since long time bhai,High,High2
UNSTABLE CONNECTION SINCE MORNING!!! bhai,Low,Low1
"please check, wifi down pls fix yaar",High,High1
wifi gone not resolved yet since long time yaar,High,Low1
net gone from last night since long time yaar,High,Low1
having no connection continuously since long time yaar,High,High2
disconnecting again and again not resolved yet since long time,Low,High1
facing internet not running bhai,High,Low1
"please check, still delay in response yaar",Low,Low1
FACING net NOT WORKING!!! bhai,High,High1
"please check, internet not wrkng again",High,High1
"please check, data loss issue pls fix yaar",Low,Low1
"please check, router problem pls fix yaar",Low,Low1
"please check, internet very slow pls fix",Low,Low1
"please check, still wifi down kya ho raha hai",High,High1
CANNOT ACCESS SITES SINCE MORNING!!!,Low,Low1
UNSTABLE CONNECTION AGAIN!!!,Low,High1
"NO CONNECTION, WHAT IS THIS?!!! kya masla hai",High,High1
router problem pls fix since long time kya ho raha hai,Low,Low1
STILL NET SLOW!!! kya ho raha hai,Low,Low1
wifi down since long time yaar,High,High2
wifi down,High,High1
dns not resolving since morning since long time,Low,Low1
HAVING LAG ISSUE CONTINUOUSLY!!!,Low,High1
wifi down since long time,High,High2
internet very slow bhai,Low,Low1
"please check, connection very slow again",Low,High1
"please check, net gone from last night",High,Low1
INTERNET GONE SINCE MORNING!!! bhai,High,Low1
"please check, no connection since morning",High,High2
"net gone, what is this? since long time yaar",High,Low1
"please check, having wifi down continuously bhai",High,High1
delay in response since long time bhai,Low,Low2
having unstable connection continuously since long time kya masla hai,Low,High1
"wifi VERY SLOW, WHAT IS THIS?!!! kya ho raha hai",Low,Low1
ROUTER NOT functioning FROM LAST NIGHT!!!,Low,Low1
facing packet loss happening kya masla hai,Low,Low1
internet gone again since long time kya ho raha hai,High,High1
"please check, wifi gone since morning",High,Low1
wifi down pls fix since long time,High,High2
wifi GONE SINCE MORNING!!!,High,Low1
still lag issue,Low,Low1
having packet loss happening continuously since long time bhai,Low,High1
"please check, having buffering problem continuously",Low,High1
ROUTER NOT WORKING PLS FIX!!!,Low,High1
"please check, facing speed is low yaar",Low,Low1
"connection not working, what is this? since long time bhai",High,High2
connection not working pls fix bhai,High,High1
ROUTER NOT functioning FROM LAST NIGHT!!! yaar,Low,Low1
wifi down not resolved yet kya ho raha hai,High,High1
FACING INTERNET NOT WORKING!!! bhai,High,High1
data loss issue not resolved yet since long time kya masla hai,Low,Low1
LAG problem NOT RESOLVED YET!!! bhai,Low,Low1
"data loss issue, what is this? since long time yaar",Low,Low1
wifi down from last night bhai,High,High1
"please check, wifi down from last night kya masla hai",High,High1
facing wifi down,High,High1
unstable connection since long time kya ho raha hai,Low,Low1
"disconnecting again and again, what is this? yaar",Low,High1
facing wifi down bhai,High,High1
internet gone from last night yaar,High,Low1
"connection GONE, WHAT IS THIS?!!!",High,Low1
"please check, no connection kya masla hai",High,High1
"INTERNET GONE, WHAT IS THIS?!!! bhai",High,Low1
facing net not working yaar,High,High1
dns not resolving pls fix,Low,Low1
speed is low again,Low,High1
wifi gone since morning since long time bhai,High,Low1
"NO CONNECTION, WHAT IS THIS?!!! yaar",High,High1
unstable connection since long time yaar,Low,Low1
no connection pls fix since long time bhai,High,High2
"please check, no connection, what is this? yaar",High,High1
unstable connection not resolved yet,Low,Low1
NET lagging PLS FIX!!! bhai,Low,Low1
router not working again since long time bhai,Low,High2
NO CONNECTION NOT RESOLVED YET!!!,High,High1
"please check, wifi not working kya ho raha hai",High,High1
"please check, internet gone since morning bhai",High,Low1
"please check, wifi not working, what is this? bhai",High,High1
PING TOO HIGH NOT RESOLVED YET!!!,Low,Low1
"connection gone, what is this? since long time bhai",High,Low1
buffering trouble since morning since long time kya ho raha hai,Low,Low1
still internet gone,High,Low1
"please check, packet loss happening yaar",Low,Low1
WIFI DOWN PLS FIX!!! bhai,High,High1
FACING connection NOT WORKING!!! kya ho raha hai,High,High1
net gone pls fix yaar,High,Low1
disconnecting again and again not resolved yet since long time yaar,Low,High1
having no connection continuously,High,High1
WIFI DOWN!!! bhai,High,High1
"please check, cannot access sites from last night",Low,Low1
net very slow again kya ho raha hai,Low,High1
"please check, intrnet very very slow from last night bhai",Low,Low1
no connection,High,High1
having no connection continuously yaar,High,High1
WIFI DOWN SINCE MORNING!!! kya ho raha hai,High,High3
speed is low from last night yaar,Low,Low1
facing internet gone since long time bhai,High,Low1
"no connection, what is this?",High,High1
STILL WIFI DOWN!!! kya ho raha hai,High,High1
ping too high,Low,Low1
"please check, connection gone",High,Low1
buffering problem kya ho raha hai,Low,Low1
"no connection, what is this? since long time",High,High2
NO CONNECTION SINCE MORNING!!! bhai,High,High3
no connection again since long time,High,High2
INTERNET NOT WORKING!!! yaar,High,High1
connection gone not resolved yet since long time bhai,High,Low1
ROUTER PROBLEM!!! bhai,Low,Low1
"please check, facing ping too high kya ho raha hai",Low,Low1
ROUTER NOT WORKING!!! bhai,Low,High1
connection gone yaar,High,Low1
connection GONE SINCE MORNING!!! yaar,High,Low1
still packet loss happening since long time,Low,Low1
disconnecting again and again bhai,Low,High1
"please check, delay in response not resolved yet bhai",Low,Low1
"please check, wifi down since morning",High,High2
"please check, no connection pls fix kya ho raha hai",High,High1
internet very too slow from last night since long time,Low,Low2
"please check, net slow from last night",Low,Low1
intrnet gone again,High,High1
HAVING connection GONE CONTINUOUSLY!!!,High,High1
facing no connection since long time,High,High2
ping too high again since long time kya ho raha hai,Low,High1
"please check, having data loss trouble continuously kya ho raha hai",Low,High1
LAG ISSUE SINCE MORNING!!! bhai,Low,Low1
"please check, no connection, what is this? kya ho raha hai",High,High1
"wifi down, what is this? yaar",High,High1
"please check, packet loss happening since morning",Low,Low1
cannot access sites not resolved yet,Low,Low1
PING TOO HIGH!!! kya ho raha hai,Low,Low1
WIFI DOWN AGAIN!!!,High,High1
FACING DATA LOSS ISSUE!!!,Low,Low1
DELAY IN RESPONSE AGAIN!!! yaar,Low,High1
ping too high not resolved yet bhai,Low,Low1
lag issue since long time,Low,Low1
"data loss issue, what is this? yaar",Low,Low1
"please check, unstable connection since morning bhai",Low,Low1
"please check, facing no connection",High,High1
"please check, buffering trouble again kya ho raha hai",Low,High1
NO CONNECTION PLS FIX!!! yaar,High,High1
ping too high again,Low,High1
wifi down from last night since long time kya ho raha hai,High,High2
router problem since morning since long time,Low,Low1
still packet loss happening since long time yaar,Low,Low1
"please check, wifi not working not resolved yet yaar",High,High1
"wifi down, what is this? bhai",High,High1
having wifi down continuously,High,High1
speed is low again kya ho raha hai,Low,High1
buffering problem since morning since long time,Low,Low1
net not working bhai,High,High1
"please check, still data loss trouble",Low,Low1
"please check, having speed is low continuously",Low,High1
HAVING DELAY IN RESPONSE CONTINUOUSLY!!! kya ho raha hai,Low,High1
still wifi not working since long time kya masla hai,High,High2
connection gone pls fix since long time bhai,High,Low1
unstable connection since long time bhai,Low,Low1
packet loss happening again since long time yaar,Low,High1
ROUTER NOT functioning PLS FIX!!!,Low,Low1
lag issue from last night,Low,Low1
"please check, still internet gone yaar",High,Low1
net NOT WORKING!!! kya ho raha hai,High,High1
SPEED IS LOW!!!,Low,Low1
having buffering trouble continuously yaar,Low,High1
"please check, facing data loss trouble",Low,Low1
"internet not working, what is this? yaar",High,High1
"please check, connection gone pls fix kya ho raha hai",High,Low1
wifi down from last night,High,High1
FACING INTERNET NOT WORKING!!!,High,High1
ping too high from last night bhai,Low,Low1
"internet not wrkng, what is this? yaar",High,Low1
internet gone since morning bhai,High,Low1
"please check, internet not working not resolved yet bhai",High,High1
having packet loss happening continuously bhai,Low,High1
UNSTABLE CONNECTION AGAIN!!! kya ho raha hai,Low,High1
data loss issue again since long time kya masla hai,Low,High1
"please check, router not working, what is this? kya ho raha hai",Low,High1
facing net lagging since long time,Low,Low1
"internet gone, what is this? bhai",High,Low1
"please check, still disconnecting again and again bhai",Low,High1
HAVING UNSTABLE CONNECTION CONTINUOUSLY!!! yaar,Low,High1
"connection GONE, WHAT IS THIS?!!! kya ho raha hai",High,Low1
speed is low again kya ho raha hai,Low,High1
intrnet very slow kya masla hai,Low,Low1
"please check, delay in response",Low,Low1
facing internet not running bhai,High,Low1
unstable connection pls fix kya masla hai,Low,Low1
internet not working since morning kya ho raha hai,High,High2
net lagging pls fix since long time bhai,Low,Low1
no connection since morning yaar,High,High2
"please check, keeps dropping not resolved yet yaar",Low,Low1
"DELAY IN RESPONSE, WHAT IS THIS?!!!",Low,Low1
"please check, facing keeps dropping bhai",Low,Low1
no connection again since long time bhai,High,High2
still no connection,High,High1
NO CONNECTION PLS FIX!!! kya ho raha hai,High,High1
LAG ISSUE FROM LAST NIGHT!!! yaar,Low,Low1
"please check, having wifi not working continuously",High,High1
FACING ROUTER NOT WORKING!!! yaar,Low,High1
packet loss happening since long time yaar,Low,Low1
lag issue,Low,Low1
"please check, speed is low again kya ho raha hai",Low,High1
STILL NET SLOW!!! bhai,Low,Low1
PING TOO HIGH FROM LAST NIGHT!!!,Low,Low1
still buffering issue since long time,Low,Low1
FACING NO CONNECTION!!! kya ho raha hai,High,High1
disconnecting again and again again since long time bhai,Low,High1
keeps dropping not resolved yet since long time yaar,Low,Low1
"please check, no connection",High,High1
internet not working since morning since long time,High,High2
wifi down bhai,High,High1
buffering issue not resolved yet since long time kya ho raha hai,Low,Low1
"please check, cannot access sites from last night kya ho raha hai",Low,Low1
"please check, still data loss issue bhai",Low,Low1
no connection from last night since long time bhai,High,High2
"please check, dns not resolving, what is this?",Low,Low1
packet loss happening pls fix since long time,Low,Low1
"please check, wifi down again yaar",High,High1
"please check, dns not resolving pls fix kya masla hai",Low,Low1
still delay in response bhai,Low,Low1
"internet gone, what is this?",High,Low1
wifi GONE!!! kya masla hai,High,Low1
"INTERNET GONE, WHAT IS THIS?!!! kya ho raha hai",High,Low1
wifi down since morning since long time yaar,High,High2
ROUTER PROBLEM NOT RESOLVED YET!!!,Low,Low1
"NET SLOW, WHAT IS THIS?!!!",Low,Low1
still packet loss happening since long time,Low,Low1
"please check, still lag issue bhai",Low,Low1
ping too high since long time kya masla hai,Low,Low1
"please check, having internet gone continuously yaar",High,High1
"ROUTER PROBLEM, WHAT IS THIS?!!! bhai",Low,Low1
internet very slow since morning kya ho raha hai,Low,Low2
data loss issue since long time kya masla hai,Low,Low1
STILL NET SLOW!!!,Low,Low1
DATA LOSS ISSUE FROM LAST NIGHT!!! kya ho raha hai,Low,Low1
"please check, still keeps dropping yaar",Low,Low1
"please check, disconnecting again and again, what is this?",Low,High1
keeps dropping kya ho raha hai,Low,Low1
connection GONE AGAIN!!! kya ho raha hai,High,High1
"please check, router not working not resolved yet yaar",Low,High1
wifi down from last night since long time bhai,High,High2
net very slow since morning,Low,Low2
facing router not wrkng,Low,Low1
wifi down not resolved yet since long time,High,High2
"please check, no connection from last night kya ho raha hai",High,High1
"please check, buffering trouble since morning bhai",Low,Low1
still no connection since long time,High,High2
"please check, still no connection kya masla hai",High,High1
"please check, delay in response kya ho raha hai",Low,Low1
data loss issue pls fix since long time kya ho raha hai,Low,Low1
still keeps dropping kya masla hai,Low,Low1
"please check, still data loss problem kya ho raha hai",Low,Low1
"router not working, what is this? since long time bhai",Low,High2
connection not working since morning bhai,High,High2
"please check, net not working yaar",High,High1
"INTERNET GONE, WHAT IS THIS?!!!",High,Low1
still disconnecting again and again since long time,Low,High1
"net slow, what is this?",Low,Low1
"please check, delay in response yaar",Low,Low1
still net slow,Low,Low1
"disconnecting again and again, what is this?",Low,High1
net not working from last night since long time,High,High2
"please check, no connection pls fix bhai",High,High1
FACING NO CONNECTION!!! kya ho raha hai,High,High1
delay in response since morning yaar,Low,Low2
"please check, net very slow from last night",Low,Low1
still no connection kya masla hai,High,High1
"please check, still buffering problem",Low,Low1
"LAG ISSUE, WHAT IS THIS?!!! bhai",Low,Low1
DISCONNECTING AGAIN AND AGAIN AGAIN!!! kya ho raha hai,Low,High1
INTERNET GONE AGAIN!!!,High,High1
lag issue again,Low,High1
INTERNET GONE!!! bhai,High,Low1
delay in response since morning since long time kya ho raha hai,Low,Low2
"please check, still wifi down yaar",High,High1
"packet loss happening, what is this? since long time kya ho raha hai",Low,Low1
DISCONNECTING AGAIN AND AGAIN PLS FIX!!!,Low,High1
internet not running not resolved yet since long time,High,Low1
connection GONE PLS FIX!!! kya masla hai,High,Low1
having data loss issue continuously,Low,High1
speed is low yaar,Low,Low1
NO CONNECTION AGAIN!!!,High,High1
wifi down since long time kya ho raha hai,High,High2
router problem not resolved yet bhai,Low,Low1
connection gone since morning yaar,High,Low1
internet not wrkng since long time yaar,High,Low1
facing net lagging yaar,Low,Low1
SPEED IS LOW SINCE MORNING!!!,Low,Low1
still packet loss happening,Low,Low1
PING TOO HIGH FROM LAST NIGHT!!!,Low,Low1
"please check, router not running pls fix",Low,Low1
data loss issue again since long time bhai,Low,High1
wifi down since morning bhai,High,High2
"BUFFERING ISSUE, WHAT IS THIS?!!! bhai",Low,Low1
speed is low pls fix bhai,Low,Low1
wifi down,High,High1
INTERNET NOT WORKING AGAIN!!! kya ho raha hai,High,High1
facing connection not working since long time,High,High2
ROUTER NOT running AGAIN!!! kya ho raha hai,Low,High1
buffering trouble since morning,Low,Low1
STILL net GONE!!! yaar,High,Low1
DISCONNECTING AGAIN AND AGAIN NOT RESOLVED YET!!! yaar,Low,High1
internet gone pls fix since long time yaar,High,Low1
"wifi down, what is this? since long time",High,High2
facing cannot access sites since long time bhai,Low,Low1
WIFI DOWN!!!,High,High1
NO CONNECTION PLS FIX!!! bhai,High,High1
wifi down pls fix since long time yaar,High,High2
wifi down from last night since long time kya masla hai,High,High2
data loss trouble since long time,Low,Low1
"please check, ping too high again",Low,High1
no connection since long time yaar,High,High2
WIFI DOWN AGAIN!!!,High,High1
"please check, still net not working bhai",High,High1
DELAY IN RESPONSE FROM LAST NIGHT!!!,Low,Low1
wifi not working from last night bhai,High,High1
FACING WIFI DOWN!!! yaar,High,High1
data loss problem since long time,Low,Low1
"please check, net gone pls fix",High,Low1
INTERNET NOT WORKING!!! kya ho raha hai,High,High1
internet not working from last night yaar,High,High1
lag trouble from last night,Low,Low1
disconnecting again and again since morning since long time,Low,High1
"please check, keeps dropping from last night bhai",Low,Low1
wifi gone not resolved yet bhai,High,Low1
router problem,Low,Low1
facing router problem kya ho raha hai,Low,Low1
having no connection continuously since long time bhai,High,High2
facing router not working,Low,High1
STILL DISCONNECTING AGAIN AND AGAIN!!!,Low,High1
WIFI DOWN FROM LAST NIGHT!!! bhai,High,High1
internet not working pls fix bhai,High,High1
router problem pls fix yaar,Low,Low1
"wifi down, what is this?",High,High1
"please check, facing no connection",High,High1
"please check, intrnet very slow bhai",Low,Low1
connection NOT WORKING!!! kya ho raha hai,High,High1
STILL SPEED IS LOW!!!,Low,Low1
DNS NOT RESOLVING AGAIN!!!,Low,High1
speed is low pls fix yaar,Low,Low1
no connection again since long time bhai,High,High2
still net gone since long time kya ho raha hai,High,Low1
"wifi down, what is this? yaar",High,High1
"please check, internet not working since morning",High,High2
internet not functioning yaar,High,Low1
HAVING PACKET LOSS HAPPENING CONTINUOUSLY!!! bhai,Low,High1
no connection since long time bhai,High,High2
wifi NOT WORKING!!! bhai,High,High1
wifi down from last night since long time kya ho raha hai,High,High2
wifi down from last night since long time,High,High2
"please check, speed is low kya ho raha hai",Low,Low1
BUFFERING problem NOT RESOLVED YET!!! kya ho raha hai,Low,Low1
"please check, no connection, what is this? bhai",High,High1
still lag issue,Low,Low1
unstable connection from last night kya ho raha hai,Low,Low1
NO CONNECTION AGAIN!!! bhai,High,High1
dns not resolving pls fix since long time,Low,Low1
internet not functioning not resolved yet since long time,High,Low1
delay in response from last night since long time bhai,Low,Low2
connection not working not resolved yet since long time,High,High2
buffering trouble not resolved yet,Low,Low1
SPEED IS LOW AGAIN!!! kya ho raha hai,Low,High1
router problem yaar,Low,Low1
net too slow again since long time,Low,High1
net not wrkng again since long time kya ho raha hai,High,High1
"please check, facing wifi down",High,High1
STILL DATA LOSS ISSUE!!!,Low,Low1
facing intrnet not working since long time kya ho raha hai,High,High2
"please check, having wifi down continuously bhai",High,High1
NO CONNECTION NOT RESOLVED YET!!!,High,High1
INTERNET VERY SLOW!!! kya ho raha hai,Low,Low1
"please check, having net slow continuously",Low,High1
"keeps dropping, what is this? since long time bhai",Low,Low1
SPEED IS LOW FROM LAST NIGHT!!! bhai,Low,Low1
wifi down kya ho raha hai,High,High1
wifi down again,High,High1
"please check, intrnet not running from last night yaar",High,Low1
"WIFI DOWN, WHAT IS THIS?!!! kya ho raha hai",High,High1
buffering issue pls fix since long time kya masla hai,Low,Low1
NET very slow FROM LAST NIGHT!!!,Low,Low1
"WIFI DOWN, WHAT IS THIS?!!! bhai",High,High1
NO CONNECTION AGAIN!!! yaar,High,High1
"please check, facing lag trouble",Low,Low1
"wifi not working, what is this? yaar",High,High1
"please check, having router problem continuously kya ho raha hai",Low,High1
internet not functioning since morning yaar,High,Low1
STILL WIFI DOWN!!! kya ho raha hai,High,High1
INTERNET VERY very slow NOT RESOLVED YET!!! bhai,Low,Low1
"buffering issue, what is this? since long time bhai",Low,Low1
cannot access sites pls fix since long time,Low,Low1
wifi down pls fix since long time yaar,High,High2
still disconnecting again and again,Low,High1
INTERNET VERY very slow NOT RESOLVED YET!!! kya ho raha hai,Low,Low1
NO CONNECTION PLS FIX!!! yaar,High,High1
"please check, data loss trouble not resolved yet yaar",Low,Low1
"please check, connection gone again",High,High1
"please check, speed is low from last night",Low,Low1
"please check, having internet not running continuously",High,High1
LAG trouble AGAIN!!! bhai,Low,High1
"please check, internet not wrkng",High,Low1
PACKET LOSS HAPPENING PLS FIX!!! yaar,Low,Low1
HAVING INTERNET VERY SLOW CONTINUOUSLY!!!,Low,High1
"please check, having delay in response continuously yaar",Low,High1
"please check, router not working",Low,High1
"please check, speed is low since morning",Low,Low1
"please check, connection not working, what is this? bhai",High,High1
NO CONNECTION PLS FIX!!! kya ho raha hai,High,High1
"please check, disconnecting again and again not resolved yet bhai",Low,High1
INTERNET VERY SLOW AGAIN!!! kya ho raha hai,Low,High1
"SPEED IS LOW, WHAT IS THIS?!!! kya ho raha hai",Low,Low1
wifi NOT WORKING SINCE MORNING!!! bhai,High,High3
STILL NO CONNECTION!!! bhai,High,High1
wifi not working again since long time,High,High2
router not functioning not resolved yet since long time,Low,Low1
INTERNET NOT functioning PLS FIX!!! yaar,High,Low1
cannot access sites since morning since long time yaar,Low,Low1
dns not resolving kya ho raha hai,Low,Low1
"please check, net gone pls fix",High,Low1
unstable connection from last night since long time kya masla hai,Low,Low1
SPEED IS LOW NOT RESOLVED YET!!! yaar,Low,Low1
facing dns not resolving since long time,Low,Low1
speed is low since long time,Low,Low1
ROUTER NOT running NOT RESOLVED YET!!!,Low,Low1
"please check, net gone since morning",High,Low1
no connection from last night yaar,High,High1
facing internet gone since long time yaar,High,Low1
internet not working again since long time,High,High2
"please check, lag trouble again",Low,High1
still router problem yaar,Low,Low1
"please check, wifi down since morning",High,High2
INTERNET NOT WORKING SINCE MORNING!!! kya ho raha hai,High,High3
speed is low pls fix kya ho raha hai,Low,Low1
router not running from last night since long time yaar,Low,Low1
having wifi gone continuously,High,High1
FACING CANNOT ACCESS SITES!!! kya ho raha hai,Low,Low1
"please check, unstable connection since morning yaar",Low,Low1
"please check, facing speed is low kya ho raha hai",Low,Low1
"please check, ping too high from last night bhai",Low,Low1
WIFI DOWN FROM LAST NIGHT!!! yaar,High,High1
"please check, facing wifi down",High,High1
facing speed is low since long time,Low,Low1
DELAY IN RESPONSE PLS FIX!!! yaar,Low,Low1
"please check, buffering issue since morning yaar",Low,Low1
"please check, internet not working from last night bhai",High,High1
"no connection, what is this?",High,High1
NO CONNECTION AGAIN!!! bhai,High,High1
having dns not resolving continuously since long time bhai,Low,High1
internet very too slow since long time kya ho raha hai,Low,Low2
net slow again since long time bhai,Low,High1
STILL PACKET LOSS HAPPENING!!! kya masla hai,Low,Low1
connection GONE NOT RESOLVED YET!!! kya masla hai,High,Low1
"please check, router problem again kya masla hai",Low,High1
net not working since morning since long time yaar,High,High2
"please check, wifi gone since morning",High,Low1
having dns not resolving continuously since long time bhai,Low,High1
FACING PING TOO HIGH!!! kya ho raha hai,Low,Low1
"please check, no connection kya ho raha hai",High,High1
facing disconnecting again and again bhai,Low,High1
"please check, still intrnet not working yaar",High,High1
wifi very slow since long time,Low,Low2
INTERNET GONE!!! yaar,High,Low1
FACING INTERNET VERY SLOW!!!,Low,Low1
wifi gone pls fix,High,Low1
"please check, facing speed is low yaar",Low,Low1
"internet not working, what is this? yaar",High,High1
data loss trouble again,Low,High1
"wifi down, what is this? since long time bhai",High,High2
HAVING net NOT WORKING CONTINUOUSLY!!! kya ho raha hai,High,High1
facing net gone since long time bhai,High,Low1
NO CONNECTION AGAIN!!! bhai,High,High1
connection not working again since long time kya ho raha hai,High,High2
packet loss happening pls fix yaar,Low,Low1
wifi down pls fix since long time,High,High2
data loss problem again bhai,Low,High1
connection NOT WORKING FROM LAST NIGHT!!! yaar,High,High1
"please check, internet gone not resolved yet kya ho raha hai",High,Low1
facing router not working yaar,Low,High1
facing disconnecting again and again since long time yaar,Low,High1
having ping too high continuously kya ho raha hai,Low,High1
"please check, net gone bhai",High,Low1
connection not working from last night kya ho raha hai,High,High1
no connection pls fix,High,High1
still data loss issue since long time kya ho raha hai,Low,Low1
wifi GONE AGAIN!!! yaar,High,High1
having connection gone continuously since long time yaar,High,High1
wifi not working not resolved yet since long time,High,High2
no connection pls fix kya masla hai,High,High1
"please check, internet gone again",High,High1
still dns not resolving,Low,Low1
"please check, lag issue not resolved yet kya ho raha hai",Low,Low1
"please check, keeps dropping, what is this? kya ho raha hai",Low,Low1
"please check, router not running again",Low,High1
internet not functioning since morning bhai,High,Low1
"please check, router not functioning since morning bhai",Low,Low1
having internet not working continuously,High,High1
connection very slow from last night since long time kya ho raha hai,Low,Low2
facing wifi down yaar,High,High1
connection gone pls fix bhai,High,Low1
router not working not resolved yet since long time kya masla hai,Low,High2
still wifi down since long time,High,High2
ROUTER PROBLEM PLS FIX!!!,Low,Low1
"please check, wifi down, what is this? bhai",High,High1
dns not resolving not resolved yet bhai,Low,Low1
still intrnet not working kya ho raha hai,High,High1
delay in response from last night since long time kya ho raha hai,Low,Low2
"please check, facing wifi down kya ho raha hai",High,High1
keeps dropping pls fix,Low,Low1
buffering trouble from last night since long time kya ho raha hai,Low,Low1
facing wifi down,High,High1
STILL WIFI DOWN!!!,High,High1
"please check, still packet loss happening",Low,Low1
router not running since morning,Low,Low1
net gone since morning since long time pls fix,High,Low1
DELAY IN RESPONSE SINCE MORNING!!! yaar,Low,Low2
"please check, buffering problem from last night bhai",Low,Low1
"please check, internet gone from last night kya masla hai",High,Low1
wifi down again yaar,High,High1
"please check, disconnecting again and again, what is this? kya masla hai",Low,High1
"please check, internet gone since morning",High,Low1
facing internet gone since long time pls fix,High,Low1
data loss trouble from last night,Low,Low1
keeps dropping not resolved yet since long time yaar,Low,Low1
WIFI DOWN NOT RESOLVED YET!!! bhai,High,High1
"please check, speed is low from last night kya ho raha hai",Low,Low1
"DATA LOSS ISSUE, WHAT IS THIS?!!! yaar",Low,Low1
delay in response since morning yaar,Low,Low2
"dns not resolving, what is this? since long time",Low,Low1
"please check, still wifi not working kya ho raha hai",High,High1
"please check, router not running again",Low,High1
"please check, still internet very very slow yaar",Low,Low1
still wifi down yaar,High,High1
net not working again since long time bhai,High,High2
data loss trouble pls fix since long time bhai,Low,Low1
"please check, keeps dropping, what is this?",Low,Low1
delay in response pls fix kya ho raha hai,Low,Low1
internet very slow not resolved yet since long time,Low,Low2
"please check, facing buffering trouble kya ho raha hai",Low,Low1
internet not running from last night since long time,High,Low1
"please check, no connection, what is this?",High,High1
NO CONNECTION NOT RESOLVED YET!!!,High,High1
"please check, packet loss happening again",Low,High1
buffering trouble not resolved yet,Low,Low1
"WIFI DOWN, WHAT IS THIS?!!! kya ho raha hai",High,High1
"please check, still no connection kya ho raha hai",High,High1
KEEPS DROPPING FROM LAST NIGHT!!! kya ho raha hai,Low,Low1
"please check, data loss problem kya ho raha hai",Low,Low1
"please check, having connection gone continuously kya ho raha hai",High,High1
data loss issue since morning since long time bhai,Low,Low1
"wifi very slow, what is this? since long time",Low,Low2
"wifi down, what is this? bhai",High,High1
FACING SPEED IS LOW!!! kya ho raha hai,Low,Low1
ping too high from last night since long time yaar,Low,Low1
keeps dropping again yaar,Low,High1
facing keeps dropping since long time kya masla hai,Low,Low1
internet not functioning pls fix yaar,High,Low1
still delay in response,Low,Low1
"please check, net gone again yaar",High,High1
facing dns not resolving since long time bhai,Low,Low1
"PING TOO HIGH, WHAT IS THIS?!!!",Low,Low1
still dns not resolving since long time yaar,Low,Low1
facing buffering problem since long time,Low,Low1
net very slow pls fix bhai,Low,Low1
wifi down again,High,High1
still data loss issue kya ho raha hai,Low,Low1
net very slow pls fix since long time bhai,Low,Low2
"please check, router problem again",Low,High1
"please check, internet very slow not resolved yet bhai",Low,Low1
having net gone continuously bhai,High,High1
"please check, wifi down again bhai",High,High1
"please check, internet very slow not resolved yet",Low,Low1
"please check, wifi not working not resolved yet bhai",High,High1
"please check, internet not working bhai",High,High1
"net GONE, WHAT IS THIS?!!! kya masla hai",High,Low1
HAVING NET SLOW CONTINUOUSLY!!!,Low,High1
net not wrkng,High,Low1
internet not working pls fix,High,High1
DATA LOSS trouble PLS FIX!!! kya ho raha hai,Low,Low1
connection NOT WORKING NOT RESOLVED YET!!!,High,High1
still net not working since long time kya ho raha hai,High,High2
"please check, intrnet very too slow since morning bhai",Low,Low2
router not running again kya ho raha hai,Low,High1
"please check, no connection from last night kya masla hai",High,High1
intrnet not wrkng from last night bhai,High,Low1
"NET SLOW, WHAT IS THIS?!!!",Low,Low1
HAVING DELAY IN RESPONSE CONTINUOUSLY!!! kya ho raha hai,Low,High1
still no connection since long time,High,High2
"net slow, what is this?",Low,Low1
connection gone from last night since long time yaar,High,Low1
no connection from last night since long time kya ho raha hai,High,High2
disconnecting again and again again since long time kya masla hai,Low,High1
having cannot access sites continuously since long time bhai,Low,High1
cannot access sites again since long time kya ho raha hai,Low,High1
HAVING NO CONNECTION CONTINUOUSLY!!! yaar,High,High1
"please check, facing delay in response bhai",Low,Low1
having net gone continuously kya ho raha hai,High,High1
packet loss happening since morning bhai,Low,Low1
internet very lagging from last night since long time bhai,Low,Low1
"please check, no connection, what is this?",High,High1
"please check, delay in response, what is this?",Low,Low1
wifi gone from last night yaar,High,Low1
keeps dropping since long time,Low,Low1
no connection bhai,High,High1
HAVING NO CONNECTION CONTINUOUSLY!!!,High,High1
ROUTER PROBLEM!!!,Low,Low1
net not working bhai,High,High1
DELAY IN RESPONSE!!!,Low,Low1
"please check, facing wifi down",High,High1
keeps dropping again,Low,High1
buffering issue pls fix kya masla hai,Low,Low1
"please check, packet loss happening not resolved yet yaar",Low,Low1
"please check, net gone pls fix kya ho raha hai",High,Low1
"connection gone, what is this? since long time kya ho raha hai",High,Low1
having no connection continuously since long time,High,High2
"please check, buffering trouble again yaar",Low,High1
unstable connection again yaar,Low,High1
internet not running since long time bhai,High,Low1
still packet loss happening,Low,Low1
still router not working since long time bhai,Low,High2
"please check, having intrnet not working continuously kya ho raha hai",High,High1
still cannot access sites,Low,Low1
FACING SPEED IS LOW!!! bhai,Low,Low1
keeps dropping again since long time kya ho raha hai,Low,High1
router not running not resolved yet since long time kya ho raha hai,Low,Low1
"disconnecting again and again, what is this? since long time kya masla hai",Low,High1
internet not functioning from last night since long time,High,Low1
dns not resolving pls fix since long time kya ho raha hai,Low,Low1
"please check, having packet loss happening continuously",Low,High1
"please check, wifi gone since morning",High,Low1
keeps dropping pls fix since long time kya ho raha hai,Low,Low1
internet gone again bhai,High,High1
"please check, net not wrkng",High,Low1
