grievance_text,severity
wifi very slow again bhai,5
"please check, internet not working since morning bhai",2
facing wifi not working bhai,1
facing no connection,1
having delay in response continuously,4
lag trouble since morning,5
"please check, wifi down since morning bhai",2
wifi down pls fix since long time bhai,2
cannot access sites not resolved yet since long time yaar,4
"please check, net gone pls fix yaar",4
facing no connection since long time kya ho raha hai,2
having buffering issue continuously kya ho raha hai,5
FACING ROUTER NOT WORKING!!! yaar,2
still wifi very slow kya ho raha hai,5
"please check, facing no connection kya ho raha hai",1
connection gone again,4
"please check, facing internet gone kya ho raha hai",1
unstable connection since long time kya ho raha hai,4
no connection bhai,1
"please check, packet loss happening since morning",4
still wifi down since long time kya ho raha hai,2
LAG ISSUE NOT RESOLVED YET!!! bhai,5
still no connection since long time kya ho raha hai,2
wifi gone kya ho raha hai,4
INTERNET GONE NOT RESOLVED YET!!! yaar,2
"wifi down, what is this?",1
router not functioning from last night bhai,4
wifi down pls fix since long time,2
"SPEED IS LOW, WHAT IS THIS?!!!",4
wifi down pls fix since long time bhai,2
WIFI DOWN AGAIN!!! bhai,2
"please check, having wifi down continuously",1
no connection again since long time yaar,2
NET SLOW!!! bhai,5
having disconnecting again and again continuously,4
having internet not functioning continuously since long time kya masla hai,4
still delay in response yaar,4
wifi down pls fix since long time kya ho raha hai,2
SPEED IS LOW SINCE MORNING!!! bhai,4
internet very slow not resolved yet since long time yaar,5
"KEEPS DROPPING, WHAT IS THIS?!!!",4
"please check, having wifi down continuously kya ho raha hai",1
"please check, packet loss happening, what is this? kya ho raha hai",4
router not running from last night since long time,4
DISCONNECTING AGAIN AND AGAIN AGAIN!!! bhai,4
"NO CONNECTION, WHAT IS THIS?!!! yaar",2
still net not working bhai,1
"please check, router not working not resolved yet kya ho raha hai",1
unstable connection since morning,4
ping too high again bhai,4
INTERNET GONE NOT RESOLVED YET!!! kya ho raha hai,2
ROUTER PROBLEM FROM LAST NIGHT!!! yaar,4
internet gone not resolved yet bhai,1
lag issue pls fix since long time,5
PING TOO HIGH!!!,4
wifi down since morning yaar,2
FACING WIFI DOWN!!! kya masla hai,2
lag issue not resolved yet since long time bhai,5
WIFI DOWN AGAIN!!!,2
wifi down again since long time,2
data loss issue since morning since long time,4
"please check, facing wifi down kya ho raha hai",1
facing net gone since long time kya ho raha hai,4
connection very slow since long time yaar,5
facing router problem,4
having buffering issue continuously since long time bhai,5
"please check, internet not working since morning bhai",2
KEEPS DROPPING SINCE MORNING!!! yaar,4
NO CONNECTION PLS FIX!!!,2
facing net lagging since long time bhai,5
HAVING net GONE CONTINUOUSLY!!! bhai,4
DISCONNECTING AGAIN AND AGAIN FROM LAST NIGHT!!! kya masla hai,4
still buffering trouble since long time kya ho raha hai,5
internet not working again since long time,2
"WIFI DOWN, WHAT IS THIS?!!! kya ho raha hai",2
data loss trouble pls fix kya ho raha hai,4
wifi not working since morning yaar,2
data loss problem since morning since long time yaar,4
disconnecting again and again bhai,4
"unstable connection, what is this? since long time",4
NET SLOW SINCE MORNING!!! yaar,5
having connection not working continuously since long time bhai,2
"please check, keeps dropping pls fix kya ho raha hai",4
lag trouble kya masla hai,5
"please check, having no connection continuously",1
unstable connection from last night bhai,4
delay in response pls fix since long time,4
wifi down since long time kya ho raha hai,2
HAVING INTERNET NOT functioning CONTINUOUSLY!!! yaar,4
internet very slow again kya masla hai,5
"please check, no connection not resolved yet",1
speed is low again,4
STILL NO CONNECTION!!! kya ho raha hai,2
"PACKET LOSS HAPPENING, WHAT IS THIS?!!! kya ho raha hai",4
wifi not wrkng from last night since long time kya masla hai,4
internet gone since long time,2
ping too high pls fix bhai,4
still no connection bhai,1
"please check, speed is low not resolved yet yaar",4
cannot access sites again bhai,4
STILL DELAY IN RESPONSE!!! kya masla hai,4
"please check, internet gone from last night bhai",1
"please check, no connection not resolved yet bhai",1
still net too slow yaar,5
"please check, wifi very slow again",5
NO CONNECTION SINCE MORNING!!!,3
no connection not resolved yet since long time kya ho raha hai,2
"please check, wifi gone from last night yaar",4
still disconnecting again and again since long time,4
net slow since morning since long time kya masla hai,5
"please check, intrnet very very slow since morning",5
wifi down from last night yaar,1
PACKET LOSS HAPPENING NOT RESOLVED YET!!!,4
"please check, facing packet loss happening bhai",4
"please check, facing data loss trouble",4
dns not resolving since morning yaar,4
having wifi down continuously since long time kya masla hai,2
net lagging since morning since long time,5
"please check, data loss issue, what is this? bhai",4
delay in response pls fix since long time yaar,4
"please check, unstable connection bhai",4
wifi down not resolved yet asap,2
internet gone again bhai,1
"connection not working, what is this? bhai",1
delay in response pls fix,4
facing cannot access sites since long time,4
"please check, still no connection",1
UNSTABLE CONNECTION SINCE MORNING!!!,4
"please check, router not running again kya ho raha hai",4
SPEED IS LOW FROM LAST NIGHT!!!,4
CANNOT ACCESS SITES PLS FIX!!! kya ho raha hai,4
having disconnecting again and again continuously kya ho raha hai,4
FACING DELAY IN RESPONSE!!! yaar,4
"please check, buffering problem",5
connection gone not resolved yet since long time kya ho raha hai,4
"please check, no connection pls fix kya ho raha hai",1
cannot access sites again since long time kya ho raha hai,4
facing wifi gone yaar,4
disconnecting again and again pls fix bhai,4
HAVING PACKET LOSS HAPPENING CONTINUOUSLY!!! yaar,4
facing no connection since long time,2
INTERNET NOT running NOT RESOLVED YET!!! bhai,4
facing no connection since long time,2
still no connection bhai,1
SPEED IS LOW NOT RESOLVED YET!!!,4
still ping too high kya ho raha hai,4
net gone from last night,4
unstable connection bhai,4
HAVING PACKET LOSS HAPPENING CONTINUOUSLY!!!,4
internet gone since long time kya ho raha hai,2
keeps dropping again bhai,4
lag issue since long time kya masla hai,5
"packet loss happening, what is this? since long time bhai",4
unstable connection again since long time,4
"please check, net very slow again yaar",5
"please check, buffering issue, what is this? kya ho raha hai",5
"WIFI DOWN, WHAT IS THIS?!!! bhai",2
packet loss happening again,4
router not functioning again,4
having cannot access sites continuously kya ho raha hai,4
lag trouble since long time bhai,5
NO CONNECTION FROM LAST NIGHT!!! yaar,2
having buffering issue continuously kya ho raha hai,5
data loss issue kya ho raha hai,4
intrnet not functioning pls fix kya ho raha hai,4
HAVING INTERNET NOT functioning CONTINUOUSLY!!!,4
net NOT WORKING!!! bhai,2
"please check, packet loss happening yaar",4
PING TOO HIGH FROM LAST NIGHT!!!,4
keeps dropping kya masla hai,4
still no connection since long time kya ho raha hai,2
keeps dropping from last night since long time yaar,4
HAVING BUFFERING trouble CONTINUOUSLY!!! kya ho raha hai,5
no connection since morning since long time yaar,2
HAVING INTERNET VERY very slow CONTINUOUSLY!!! bhai,5
DELAY IN RESPONSE PLS FIX!!! yaar,4
"WIFI DOWN, WHAT IS THIS?!!!",2
wifi down yaar,1
connection not wrkng not resolved yet yaar,4
no connection not resolved yet bhai,1
router problem not resolved yet since long time,4
cannot access sites from last night kya ho raha hai,4
ROUTER PROBLEM NOT RESOLVED YET!!!,4
"connection gone, what is this? since long time yaar",4
"please check, still lag trouble kya masla hai",5
PING TOO HIGH PLS FIX!!!,4
internet not functioning bhai,4
NO CONNECTION NOT RESOLVED YET!!!,2
data loss issue from last night kya masla hai,4
NO CONNECTION NOT RESOLVED YET!!!,2
buffering trouble from last night,5
ROUTER PROBLEM FROM LAST NIGHT!!! bhai,4
"please check, connection not working from last night yaar",1
"please check, facing internet gone",1
"please check, packet loss happening from last night kya masla hai",4
"please check, having connection gone continuously yaar",4
facing wifi down since long time kya ho raha hai,2
data loss issue again bhai,4
"please check, facing internet not running yaar",4
"please check, wifi not working again kya ho raha hai",1
"internet very slow, what is this? since long time bhai",5
PACKET LOSS HAPPENING FROM LAST NIGHT!!! bhai,4
"please check, router not working from last night",1
still no connection bhai,1
wifi very slow since morning since long time kya ho raha hai,5
"please check, lag problem pls fix kya ho raha hai",5
internet gone from last night since long time bhai,2
NO CONNECTION!!! bhai,2
"please check, wifi down since morning bhai",2
connection NOT WORKING PLS FIX!!!,2
WIFI DOWN NOT RESOLVED YET!!! yaar,2
keeps dropping from last night kya ho raha hai,4
"buffering issue, what is this? bhai",5
facing wifi gone since long time yaar,4
"please check, having unstable connection continuously kya ho raha hai",4
still no connection since long time,2
FACING NO CONNECTION!!! bhai,2
internet gone pls fix kya ho raha hai,1
router not functioning again since long time,4
"please check, net too slow since morning",5
"NO CONNECTION, WHAT IS THIS?!!! bhai",2
facing intrnet gone kya ho raha hai,4
"delay in response, what is this?",4
still connection gone since long time bhai,4
wifi down pls fix since long time bhai,2
STILL CANNOT ACCESS SITES!!! yaar,4
wifi down since long time bhai,2
"please check, packet loss happening, what is this? yaar",4
internet not working pls fix since long time,2
having no connection continuously since long time,2
"please check, net slow not resolved yet bhai",5
facing internet not working since long time bhai,2
"please check, facing wifi down yaar",1
"internet not working, what is this? bhai",1
still internet very slow yaar,5
dns not resolving not resolved yet yaar,4
DATA LOSS problem SINCE MORNING!!! bhai,4
"please check, wifi down pls fix kya ho raha hai",1
"please check, no connection pls fix kya ho raha hai",1
"please check, wifi down not resolved yet",1
HAVING WIFI DOWN CONTINUOUSLY!!!,2
having net gone continuously since long time bhai,4
intrnet gone again,4
no connection since long time,2
FACING INTERNET NOT WORKING!!!,2
"please check, buffering issue, what is this?",5
internet not functioning pls fix since long time kya masla hai,4
router problem not resolved yet since long time yaar,4
net GONE SINCE MORNING!!! kya ho raha hai,4
internet very slow from last night bhai,5
still wifi not wrkng since long time,4
"wifi down, what is this? yaar",1
ROUTER PROBLEM FROM LAST NIGHT!!! yaar,4
buffering problem since morning kya masla hai,5
INTERNET NOT WORKING SINCE MORNING!!! yaar,3
NO CONNECTION PLS FIX!!! bhai,2
STILL DISCONNECTING AGAIN AND AGAIN!!! bhai,4
"please check, buffering issue, what is this? bhai",5
"please check, no connection from last night bhai",1
keeps dropping again since long time yaar,4
KEEPS DROPPING PLS FIX!!! bhai,4
"please check, wifi gone not resolved yet yaar",4
still keeps dropping yaar,4
"please check, router not running not resolved yet bhai",4
facing router problem since long time bhai,4
net gone not resolved yet,4
FACING wifi NOT WORKING!!! kya ho raha hai,2
"cannot access sites, what is this? since long time bhai",4
HAVING INTERNET GONE CONTINUOUSLY!!!,2
"please check, internet not working pls fix",1
"please check, cannot access sites from last night yaar",4
net not working pls fix since long time kya ho raha hai,2
unstable connection pls fix since long time kya ho raha hai,4
"keeps dropping, what is this? kya ho raha hai",4
wifi down from last night since long time,2
NET SLOW FROM LAST NIGHT!!! bhai,5
dns not resolving bhai,4
having wifi down continuously yaar,1
no connection again yaar,1
wifi down from last night kya ho raha hai,1
having no connection continuously since long time bhai,2
"ROUTER NOT WORKING, WHAT IS THIS?!!! bhai",2
"please check, connection not working not resolved yet",1
"please check, net too slow again kya masla hai",5
"please check, wifi down not resolved yet",1
facing internet not running bhai,4
DISCONNECTING AGAIN AND AGAIN!!! yaar,4
router problem pls fix bhai,4
net too slow pls fix since long time yaar,5
"no connection, what is this? kya masla hai",1
still wifi down,1
FACING wifi VERY SLOW!!! kya ho raha hai,5
"please check, still wifi down",1
"WIFI DOWN, WHAT IS THIS?!!! bhai",2
"please check, router not running since morning kya masla hai",4
no connection since long time bhai,2
UNSTABLE CONNECTION SINCE MORNING!!! bhai,4
"please check, wifi down pls fix yaar",1
wifi gone not resolved yet since long time yaar,4
net gone from last night since long time yaar,4
having no connection continuously since long time yaar,2
disconnecting again and again not resolved yet since long time,4
facing internet not running bhai,4
"please check, still delay in response yaar",4
FACING net NOT WORKING!!! bhai,2
"please check, internet not wrkng again",4
"please check, data loss issue pls fix yaar",4
"please check, router problem pls fix yaar",4
"please check, internet very slow pls fix",5
"please check, still wifi down kya ho raha hai",1
CANNOT ACCESS SITES SINCE MORNING!!!,4
UNSTABLE CONNECTION AGAIN!!!,4
"NO CONNECTION, WHAT IS THIS?!!! kya masla hai",2
router problem pls fix since long time kya ho raha hai,4
STILL NET SLOW!!! kya ho raha hai,5
wifi down since long time yaar,2
wifi down,1
dns not resolving since morning since long time,4
HAVING LAG ISSUE CONTINUOUSLY!!!,5
wifi down since long time,2
internet very slow bhai,5
"please check, connection very slow again",5
"please check, net gone from last night",4
INTERNET GONE SINCE MORNING!!! bhai,3
"please check, no connection since morning",2
"net gone, what is this? since long time yaar",4
"please check, having wifi down continuously bhai",1
delay in response since long time bhai,4
having unstable connection continuously since long time kya masla hai,4
"wifi VERY SLOW, WHAT IS THIS?!!! kya ho raha hai",5
ROUTER NOT functioning FROM LAST NIGHT!!!,4
facing packet loss happening kya masla hai,4
internet gone again since long time kya ho raha hai,2
"please check, wifi gone since morning",4
wifi down pls fix since long time,2
wifi GONE SINCE MORNING!!!,4
still lag issue,5
having packet loss happening continuously since long time bhai,4
"please check, having buffering problem continuously",5
ROUTER NOT WORKING PLS FIX!!!,2
"please check, facing speed is low yaar",4
"connection not working, what is this? since long time bhai",2
connection not working pls fix bhai,1
ROUTER NOT functioning FROM LAST NIGHT!!! yaar,4
wifi down not resolved yet kya ho raha hai,1
FACING INTERNET NOT WORKING!!! bhai,2
data loss issue not resolved yet since long time kya masla hai,4
LAG problem NOT RESOLVED YET!!! bhai,5
"data loss issue, what is this? since long time yaar",4
wifi down from last night bhai,1
"please check, wifi down from last night kya masla hai",1
facing wifi down,1
unstable connection since long time kya ho raha hai,4
"disconnecting again and again, what is this? yaar",4
facing wifi down bhai,1
internet gone from last night yaar,1
"connection GONE, WHAT IS THIS?!!!",4
"please check, no connection kya masla hai",1
"INTERNET GONE, WHAT IS THIS?!!! bhai",2
facing net not working yaar,1
dns not resolving pls fix,4
speed is low again,4
wifi gone since morning since long time bhai,4
"NO CONNECTION, WHAT IS THIS?!!! yaar",2
unstable connection since long time yaar,4
no connection pls fix since long time bhai,2
"please check, no connection, what is this? yaar",1
unstable connection not resolved yet,4
NET lagging PLS FIX!!! bhai,5
router not working again since long time bhai,2
NO CONNECTION NOT RESOLVED YET!!!,2
"please check, wifi not working kya ho raha hai",1
"please check, internet gone since morning bhai",2
"please check, wifi not working, what is this? bhai",1
PING TOO HIGH NOT RESOLVED YET!!!,4
"connection gone, what is this? since long time bhai",4
buffering trouble since morning since long time kya ho raha hai,5
still internet gone,1
"please check, packet loss happening yaar",4
WIFI DOWN PLS FIX!!! bhai,2
FACING connection NOT WORKING!!! kya ho raha hai,2
net gone pls fix yaar,4
disconnecting again and again not resolved yet since long time yaar,4
having no connection continuously,1
WIFI DOWN!!! bhai,2
"please check, cannot access sites from last night",4
net very slow again kya ho raha hai,5
"please check, intrnet very very slow from last night bhai",5
no connection,1
having no connection continuously yaar,1
WIFI DOWN SINCE MORNING!!! kya ho raha hai,3
speed is low from last night yaar,4
facing internet gone since long time bhai,2
"no connection, what is this?",1
STILL WIFI DOWN!!! kya ho raha hai,2
ping too high,4
"please check, connection gone",4
buffering problem kya ho raha hai,5
"no connection, what is this? since long time",2
NO CONNECTION SINCE MORNING!!! bhai,3
no connection again since long time,2
INTERNET NOT WORKING!!! yaar,2
connection gone not resolved yet since long time bhai,4
ROUTER PROBLEM!!! bhai,4
"please check, facing ping too high kya ho raha hai",4
ROUTER NOT WORKING!!! bhai,2
connection gone yaar,4
connection GONE SINCE MORNING!!! yaar,4
still packet loss happening since long time,4
disconnecting again and again bhai,4
"please check, delay in response not resolved yet bhai",4
"please check, wifi down since morning",2
"please check, no connection pls fix kya ho raha hai",1
internet very too slow from last night since long time,5
"please check, net slow from last night",5
intrnet gone again,4
HAVING connection GONE CONTINUOUSLY!!!,4
facing no connection since long time,2
ping too high again since long time kya ho raha hai,4
"please check, having data loss trouble continuously kya ho raha hai",4
LAG ISSUE SINCE MORNING!!! bhai,5
"please check, no connection, what is this? kya ho raha hai",1
"wifi down, what is this? yaar",1
"please check, packet loss happening since morning",4
cannot access sites not resolved yet,4
PING TOO HIGH!!! kya ho raha hai,4
WIFI DOWN AGAIN!!!,2
FACING DATA LOSS ISSUE!!!,4
DELAY IN RESPONSE AGAIN!!! yaar,4
ping too high not resolved yet bhai,4
lag issue since long time,5
"data loss issue, what is this? yaar",4
"please check, unstable connection since morning bhai",4
"please check, facing no connection",1
"please check, buffering trouble again kya ho raha hai",5
NO CONNECTION PLS FIX!!! yaar,2
ping too high again,4
wifi down from last night since long time kya ho raha hai,2
router problem since morning since long time,4
still packet loss happening since long time yaar,4
"please check, wifi not working not resolved yet yaar",1
"wifi down, what is this? bhai",1
having wifi down continuously,1
speed is low again kya ho raha hai,4
buffering problem since morning since long time,5
net not working bhai,1
"please check, still data loss trouble",4
"please check, having speed is low continuously",4
HAVING DELAY IN RESPONSE CONTINUOUSLY!!! kya ho raha hai,4
still wifi not working since long time kya masla hai,2
connection gone pls fix since long time bhai,4
unstable connection since long time bhai,4
packet loss happening again since long time yaar,4
ROUTER NOT functioning PLS FIX!!!,4
lag issue from last night,5
"please check, still internet gone yaar",1
net NOT WORKING!!! kya ho raha hai,2
SPEED IS LOW!!!,4
having buffering trouble continuously yaar,5
"please check, facing data loss trouble",4
"internet not working, what is this? yaar",1
"please check, connection gone pls fix kya ho raha hai",4
wifi down from last night,1
FACING INTERNET NOT WORKING!!!,2
ping too high from last night bhai,4
"internet not wrkng, what is this? yaar",4
internet gone since morning bhai,2
"please check, internet not working not resolved yet bhai",1
having packet loss happening continuously bhai,4
UNSTABLE CONNECTION AGAIN!!! kya ho raha hai,4
data loss issue again since long time kya masla hai,4
"please check, router not working, what is this? kya ho raha hai",1
facing net lagging since long time,5
"internet gone, what is this? bhai",1
"please check, still disconnecting again and again bhai",4
HAVING UNSTABLE CONNECTION CONTINUOUSLY!!! yaar,4
"connection GONE, WHAT IS THIS?!!! kya ho raha hai",4
speed is low again kya ho raha hai,4
intrnet very slow kya masla hai,5
"please check, delay in response",4
facing internet not running bhai,4
unstable connection pls fix kya masla hai,4
internet not working since morning kya ho raha hai,2
net lagging pls fix since long time bhai,5
no connection since morning yaar,2
"please check, keeps dropping not resolved yet yaar",4
"DELAY IN RESPONSE, WHAT IS THIS?!!!",4
"please check, facing keeps dropping bhai",4
no connection again since long time bhai,2
still no connection,1
NO CONNECTION PLS FIX!!! kya ho raha hai,2
LAG ISSUE FROM LAST NIGHT!!! yaar,5
"please check, having wifi not working continuously",1
FACING ROUTER NOT WORKING!!! yaar,2
packet loss happening since long time yaar,4
lag issue,5
"please check, speed is low again kya ho raha hai",4
STILL NET SLOW!!! bhai,5
PING TOO HIGH FROM LAST NIGHT!!!,4
still buffering issue since long time,5
FACING NO CONNECTION!!! kya ho raha hai,2
disconnecting again and again again since long time bhai,4
keeps dropping not resolved yet since long time yaar,4
"please check, no connection",1
internet not working since morning since long time,2
wifi down bhai,1
buffering issue not resolved yet since long time kya ho raha hai,5
"please check, cannot access sites from last night kya ho raha hai",4
"please check, still data loss issue bhai",4
no connection from last night since long time bhai,2
"please check, dns not resolving, what is this?",4
packet loss happening pls fix since long time,4
"please check, wifi down again yaar",1
"please check, dns not resolving pls fix kya masla hai",4
still delay in response bhai,4
"internet gone, what is this?",1
wifi GONE!!! kya masla hai,4
"INTERNET GONE, WHAT IS THIS?!!! kya ho raha hai",2
wifi down since morning since long time yaar,2
ROUTER PROBLEM NOT RESOLVED YET!!!,4
"NET SLOW, WHAT IS THIS?!!!",5
still packet loss happening since long time,4
"please check, still lag issue bhai",5
ping too high since long time kya masla hai,4
"please check, having internet gone continuously yaar",1
"ROUTER PROBLEM, WHAT IS THIS?!!! bhai",4
internet very slow since morning kya ho raha hai,5
data loss issue since long time kya masla hai,4
STILL NET SLOW!!!,5
DATA LOSS ISSUE FROM LAST NIGHT!!! kya ho raha hai,4
"please check, still keeps dropping yaar",4
"please check, disconnecting again and again, what is this?",4
keeps dropping kya ho raha hai,4
connection GONE AGAIN!!! kya ho raha hai,4
"please check, router not working not resolved yet yaar",1
wifi down from last night since long time bhai,2
net very slow since morning,5
facing router not wrkng,4
wifi down not resolved yet since long time,2
"please check, no connection from last night kya ho raha hai",1
"please check, buffering trouble since morning bhai",5
still no connection since long time,2
"please check, still no connection kya masla hai",1
"please check, delay in response kya ho raha hai",4
data loss issue pls fix since long time kya ho raha hai,4
still keeps dropping kya masla hai,4
"please check, still data loss problem kya ho raha hai",4
"router not working, what is this? since long time bhai",2
connection not working since morning bhai,2
"please check, net not working yaar",1
"INTERNET GONE, WHAT IS THIS?!!!",2
still disconnecting again and again since long time,4
"net slow, what is this?",5
"please check, delay in response yaar",4
still net slow,5
"disconnecting again and again, what is this?",4
net not working from last night since long time,2
"please check, no connection pls fix bhai",1
FACING NO CONNECTION!!! kya ho raha hai,2
delay in response since morning yaar,4
"please check, net very slow from last night",5
still no connection kya masla hai,1
"please check, still buffering problem",5
"LAG ISSUE, WHAT IS THIS?!!! bhai",5
DISCONNECTING AGAIN AND AGAIN AGAIN!!! kya ho raha hai,4
INTERNET GONE AGAIN!!!,2
lag issue again,5
INTERNET GONE!!! bhai,2
delay in response since morning since long time kya ho raha hai,4
"please check, still wifi down yaar",1
"packet loss happening, what is this? since long time kya ho raha hai",4
DISCONNECTING AGAIN AND AGAIN PLS FIX!!!,4
internet not running not resolved yet since long time,4
connection GONE PLS FIX!!! kya masla hai,4
having data loss issue continuously,4
speed is low yaar,4
NO CONNECTION AGAIN!!!,2
wifi down since long time kya ho raha hai,2
router problem not resolved yet bhai,4
connection gone since morning yaar,4
internet not wrkng since long time yaar,4
facing net lagging yaar,5
SPEED IS LOW SINCE MORNING!!!,4
still packet loss happening,4
PING TOO HIGH FROM LAST NIGHT!!!,4
"please check, router not running pls fix",4
data loss issue again since long time bhai,4
wifi down since morning bhai,2
"BUFFERING ISSUE, WHAT IS THIS?!!! bhai",5
speed is low pls fix bhai,4
wifi down,1
INTERNET NOT WORKING AGAIN!!! kya ho raha hai,2
facing connection not working since long time,2
ROUTER NOT running AGAIN!!! kya ho raha hai,4
buffering trouble since morning,5
STILL net GONE!!! yaar,4
DISCONNECTING AGAIN AND AGAIN NOT RESOLVED YET!!! yaar,4
internet gone pls fix since long time yaar,2
"wifi down, what is this? since long time",2
facing cannot access sites since long time bhai,4
WIFI DOWN!!!,2
NO CONNECTION PLS FIX!!! bhai,2
wifi down pls fix since long time yaar,2
wifi down from last night since long time kya masla hai,2
data loss trouble since long time,4
"please check, ping too high again",4
no connection since long time yaar,2
WIFI DOWN AGAIN!!!,2
"please check, still net not working bhai",1
DELAY IN RESPONSE FROM LAST NIGHT!!!,4
wifi not working from last night bhai,1
FACING WIFI DOWN!!! yaar,2
data loss problem since long time,4
"please check, net gone pls fix",4
INTERNET NOT WORKING!!! kya ho raha hai,2
internet not working from last night yaar,1
lag trouble from last night,5
disconnecting again and again since morning since long time,4
"please check, keeps dropping from last night bhai",4
wifi gone not resolved yet bhai,4
router problem,4
facing router problem kya ho raha hai,4
having no connection continuously since long time bhai,2
facing router not working,1
STILL DISCONNECTING AGAIN AND AGAIN!!!,4
WIFI DOWN FROM LAST NIGHT!!! bhai,2
internet not working pls fix bhai,1
router problem pls fix yaar,4
"wifi down, what is this?",1
"please check, facing no connection",1
"please check, intrnet very slow bhai",5
connection NOT WORKING!!! kya ho raha hai,2
STILL SPEED IS LOW!!!,4
DNS NOT RESOLVING AGAIN!!!,4
speed is low pls fix yaar,4
no connection again since long time bhai,2
still net gone since long time kya ho raha hai,4
"wifi down, what is this? yaar",1
"please check, internet not working since morning",2
internet not functioning yaar,4
HAVING PACKET LOSS HAPPENING CONTINUOUSLY!!! bhai,4
no connection since long time bhai,2
wifi NOT WORKING!!! bhai,2
wifi down from last night since long time kya ho raha hai,2
wifi down from last night since long time,2
"please check, speed is low kya ho raha hai",4
BUFFERING problem NOT RESOLVED YET!!! kya ho raha hai,5
"please check, no connection, what is this? bhai",1
still lag issue,5
unstable connection from last night kya ho raha hai,4
NO CONNECTION AGAIN!!! bhai,2
dns not resolving pls fix since long time,4
internet not functioning not resolved yet since long time,4
delay in response from last night since long time bhai,4
connection not working not resolved yet since long time,2
buffering trouble not resolved yet,5
SPEED IS LOW AGAIN!!! kya ho raha hai,4
router problem yaar,4
net too slow again since long time,5
net not wrkng again since long time kya ho raha hai,4
"please check, facing wifi down",1
STILL DATA LOSS ISSUE!!!,4
facing intrnet not working since long time kya ho raha hai,2
"please check, having wifi down continuously bhai",1
NO CONNECTION NOT RESOLVED YET!!!,2
INTERNET VERY SLOW!!! kya ho raha hai,5
"please check, having net slow continuously",5
"keeps dropping, what is this? since long time bhai",4
SPEED IS LOW FROM LAST NIGHT!!! bhai,4
wifi down kya ho raha hai,1
wifi down again,1
"please check, intrnet not running from last night yaar",4
"WIFI DOWN, WHAT IS THIS?!!! kya ho raha hai",2
buffering issue pls fix since long time kya masla hai,5
NET very slow FROM LAST NIGHT!!!,5
"WIFI DOWN, WHAT IS THIS?!!! bhai",2
NO CONNECTION AGAIN!!! yaar,2
"please check, facing lag trouble",5
"wifi not working, what is this? yaar",1
"please check, having router problem continuously kya ho raha hai",4
internet not functioning since morning yaar,4
STILL WIFI DOWN!!! kya ho raha hai,2
INTERNET VERY very slow NOT RESOLVED YET!!! bhai,5
"buffering issue, what is this? since long time bhai",5
cannot access sites pls fix since long time,4
wifi down pls fix since long time yaar,2
still disconnecting again and again,4
INTERNET VERY very slow NOT RESOLVED YET!!! kya ho raha hai,5
NO CONNECTION PLS FIX!!! yaar,2
"please check, data loss trouble not resolved yet yaar",4
"please check, connection gone again",4
"please check, speed is low from last night",4
"please check, having internet not running continuously",4
LAG trouble AGAIN!!! bhai,5
"please check, internet not wrkng",4
PACKET LOSS HAPPENING PLS FIX!!! yaar,4
HAVING INTERNET VERY SLOW CONTINUOUSLY!!!,5
"please check, having delay in response continuously yaar",4
"please check, router not working",1
"please check, speed is low since morning",4
"please check, connection not working, what is this? bhai",1
NO CONNECTION PLS FIX!!! kya ho raha hai,2
"please check, disconnecting again and again not resolved yet bhai",4
INTERNET VERY SLOW AGAIN!!! kya ho raha hai,5
"SPEED IS LOW, WHAT IS THIS?!!! kya ho raha hai",4
wifi NOT WORKING SINCE MORNING!!! bhai,3
STILL NO CONNECTION!!! bhai,2
wifi not working again since long time,2
router not functioning not resolved yet since long time,4
INTERNET NOT functioning PLS FIX!!! yaar,4
cannot access sites since morning since long time yaar,4
dns not resolving kya ho raha hai,4
"please check, net gone pls fix",4
unstable connection from last night since long time kya masla hai,4
SPEED IS LOW NOT RESOLVED YET!!! yaar,4
facing dns not resolving since long time,4
speed is low since long time,4
ROUTER NOT running NOT RESOLVED YET!!!,4
"please check, net gone since morning",4
no connection from last night yaar,1
facing internet gone since long time yaar,2
internet not working again since long time,2
"please check, lag trouble again",5
still router problem yaar,4
"please check, wifi down since morning",2
INTERNET NOT WORKING SINCE MORNING!!! kya ho raha hai,3
speed is low pls fix kya ho raha hai,4
router not running from last night since long time yaar,4
having wifi gone continuously,4
FACING CANNOT ACCESS SITES!!! kya ho raha hai,4
"please check, unstable connection since morning yaar",4
"please check, facing speed is low kya ho raha hai",4
"please check, ping too high from last night bhai",4
WIFI DOWN FROM LAST NIGHT!!! yaar,2
"please check, facing wifi down",1
facing speed is low since long time,4
DELAY IN RESPONSE PLS FIX!!! yaar,4
"please check, buffering issue since morning yaar",5
"please check, internet not working from last night bhai",1
"no connection, what is this?",1
NO CONNECTION AGAIN!!! bhai,2
having dns not resolving continuously since long time bhai,4
internet very too slow since long time kya ho raha hai,5
net slow again since long time bhai,5
STILL PACKET LOSS HAPPENING!!! kya masla hai,4
connection GONE NOT RESOLVED YET!!! kya masla hai,4
"please check, router problem again kya masla hai",4
net not working since morning since long time yaar,2
"please check, wifi gone since morning",4
having dns not resolving continuously since long time bhai,4
FACING PING TOO HIGH!!! kya ho raha hai,4
"please check, no connection kya ho raha hai",1
facing disconnecting again and again bhai,4
"please check, still intrnet not working yaar",1
wifi very slow since long time,5
INTERNET GONE!!! yaar,2
FACING INTERNET VERY SLOW!!!,5
wifi gone pls fix,4
