grievance_text,predicted_probability,severity
please check still disconnecting again and again kya ho raha hai,2.10E-06,Low
disconnecting again and again from last night since long time kya ho raha hai,1.91E-06,Low
facing wifi down kya masla hai,0.99999857,High
packet loss happening not resolved yet,1.92E-06,Low
please check still router problem kya ho raha hai,2.06E-06,Low
speed is low from last night,1.92E-06,Low
connection gone yaar,0.99999857,High
please check having unstable connection continuously,2.33E-06,Low
still data loss issue yaar,1.98E-06,Low
please check dns not resolving from last night,2.09E-06,Low
facing packet loss happening since long time bhai,1.96E-06,Low
please check having router not working continuously yaar,2.30E-06,Low
no connection since morning since long time bhai,0.99999857,High
packet loss happening again since long time kya ho raha hai,1.91E-06,Low
delay in response from last night since long time bhai,1.92E-06,Low
unstable connection kya ho raha hai,2.06E-06,Low
net slow what is this since long time kya ho raha hai,2.03E-06,Low
speed is low from last night kya masla hai,1.92E-06,Low
still data loss trouble kya ho raha hai,1.98E-06,Low
wifi not working not resolved yet kya ho raha hai,0.99999857,High
please check still internet gone bhai,0.99999845,High
disconnecting again and again again yaar,1.90E-06,Low
facing wifi down bhai,0.99999857,High
please check no connection pls fix kya ho raha hai,0.99999845,High
keeps dropping not resolved yet since long time kya masla hai,1.92E-06,Low
dns not resolving bhai,1.95E-06,Low
please check no connection pls fix kya ho raha hai,0.99999845,High
cannot access sites from last night,1.91E-06,Low
please check wifi down what is this,0.99999845,High
ping too high what is this bhai,1.92E-06,Low
still buffering problem since long time bhai,1.97E-06,Low
keeps dropping from last night,1.91E-06,Low
still net lagging yaar,2.56E-06,Low
disconnecting again and again kya ho raha hai,1.90E-06,Low
wifi gone not resolved yet,0.99999857,High
please check net slow again kya ho raha hai,2.25E-06,Low
net slow since long time,2.04E-06,Low
wifi gone bhai,0.99999857,High
internet very lagging from last night bhai,2.96E-06,Low
delay in response since long time kya ho raha hai,1.92E-06,Low
having keeps dropping continuously since long time bhai,1.96E-06,Low
router problem what is this kya masla hai,1.91E-06,Low
please check speed is low from last night kya ho raha hai,2.03E-06,Low
please check facing ping too high bhai,2.06E-06,Low
having keeps dropping continuously since long time bhai,1.96E-06,Low
data loss issue what is this since long time bhai,1.93E-06,Low
lag trouble from last night since long time kya ho raha hai,1.91E-06,Low
keeps dropping what is this bhai,1.91E-06,Low
buffering problem since morning yaar,1.91E-06,Low
facing internet not functioning kya ho raha hai,0.99999845,High
facing net slow,2.10E-06,Low
please check no connection from last night kya ho raha hai,0.99999845,High
disconnecting again and again since morning yaar,1.90E-06,Low
wifi down kya ho raha hai,0.99999857,High
please check packet loss happening from last night,2.00E-06,Low
keeps dropping again,1.92E-06,Low
disconnecting again and again since morning since long time,1.90E-06,Low
lag trouble since morning yaar,1.90E-06,Low
please check still intrnet gone,0.99999845,High
keeps dropping from last night since long time kya ho raha hai,1.91E-06,Low
having router not running continuously bhai,1.99E-06,Low
disconnecting again and again what is this bhai,1.90E-06,Low
disconnecting again and again what is this,1.90E-06,Low
router not working bhai,1.97E-06,Low
please check facing disconnecting again and again,2.09E-06,Low
net slow since morning yaar,2.06E-06,Low
please check buffering issue bhai,2.01E-06,Low
net slow pls fix since long time bhai,2.07E-06,Low
please check wifi down from last night yaar,0.99999845,High
wifi down since morning kya ho raha hai,0.99999857,High
disconnecting again and again again yaar,1.90E-06,Low
please check dns not resolving pls fix bhai,2.11E-06,Low
wifi down what is this since long time kya ho raha hai,0.99999857,High
internet very slow not resolved yet kya masla hai,2.39E-06,Low
net slow what is this,2.04E-06,Low
facing net slow bhai,2.09E-06,Low
please check no connection kya ho raha hai,0.99999845,High
disconnecting again and again again bhai,1.90E-06,Low
having keeps dropping continuously yaar,1.96E-06,Low
please check wifi down again yaar,0.99999845,High
having connection very slow continuously since long time yaar,2.10E-06,Low
please check router not functioning from last night bhai,2.15E-06,Low
please check still packet loss happening bhai,2.06E-06,Low
speed is low what is this kya ho raha hai,1.92E-06,Low
router problem pls fix kya masla hai,1.90E-06,Low
buffering issue what is this kya ho raha hai,1.91E-06,Low
please check wifi gone not resolved yet kya masla hai,0.99999845,High
lag issue again since long time kya ho raha hai,1.90E-06,Low
facing internet very slow bhai,2.34E-06,Low
please check having router problem continuously yaar,2.05E-06,Low
still delay in response since long time kya ho raha hai,1.97E-06,Low
please check router not working pls fix,2.27E-06,Low
please check dns not resolving from last night bhai,2.09E-06,Low
router not functioning not resolved yet kya ho raha hai,1.96E-06,Low
buffering trouble from last night since long time yaar,1.91E-06,Low
ping too high since morning since long time yaar,1.91E-06,Low
packet loss happening again since long time bhai,1.91E-06,Low
wifi down since morning kya masla hai,0.99999857,High
packet loss happening pls fix yaar,1.91E-06,Low
facing connection very slow bhai,2.14E-06,Low
please check no connection what is this yaar,0.99999845,High
lag trouble pls fix kya ho raha hai,1.90E-06,Low
packet loss happening since morning,1.92E-06,Low
packet loss happening pls fix kya masla hai,1.91E-06,Low
keeps dropping again kya ho raha hai,1.91E-06,Low
data loss issue from last night kya masla hai,1.93E-06,Low
net too slow kya ho raha hai,2.02E-06,Low
having internet very lagging continuously,2.64E-06,Low
please check facing speed is low,2.10E-06,Low
having data loss trouble continuously bhai,1.97E-06,Low
cannot access sites since morning since long time yaar,1.91E-06,Low
net very slow not resolved yet,2.01E-06,Low
please check connection very slow pls fix kya ho raha hai,2.38E-06,Low
please check keeps dropping pls fix yaar,2.02E-06,Low
having net slow continuously yaar,2.08E-06,Low
still connection gone bhai,0.99999845,High
data loss problem,1.94E-06,Low
keeps dropping pls fix yaar,1.91E-06,Low
please check keeps dropping what is this bhai,2.01E-06,Low
buffering trouble since morning bhai,1.91E-06,Low
ping too high pls fix since long time bhai,1.91E-06,Low
having wifi gone continuously,0.99999857,High
ping too high from last night kya ho raha hai,1.92E-06,Low
please check packet loss happening from last night,2.00E-06,Low
still router problem,1.99E-06,Low
packet loss happening what is this yaar,1.91E-06,Low
wifi down not resolved yet since long time bhai,0.99999857,High
still connection gone since long time yaar,0.99999845,High
disconnecting again and again what is this kya ho raha hai,1.90E-06,Low
unstable connection since long time,1.98E-06,Low
still router not working since long time,2.06E-06,Low
net slow pls fix yaar,2.10E-06,Low
facing wifi down,0.99999857,High
internet gone bhai,0.99999857,High
please check buffering trouble not resolved yet bhai,2.02E-06,Low
no connection since morning,0.99999857,High
connection not working since morning kya ho raha hai,0.99999857,High
facing net not working,0.99999845,High
keeps dropping not resolved yet bhai,1.92E-06,Low
unstable connection again since long time bhai,1.96E-06,Low
data loss issue yaar,1.93E-06,Low
data loss problem again since long time yaar,1.92E-06,Low
data loss trouble not resolved yet since long time kya masla hai,1.93E-06,Low
dns not resolving from last night since long time bhai,1.94E-06,Low
please check no connection since morning,0.99999845,High
wifi gone kya masla hai,0.99999857,High
dns not resolving since morning,1.95E-06,Low
speed is low pls fix kya ho raha hai,1.92E-06,Low
having disconnecting again and again continuously bhai,1.95E-06,Low
data loss trouble from last night since long time yaar,1.93E-06,Low
having no connection continuously since long time kya ho raha hai,0.99999845,High
please check packet loss happening not resolved yet yaar,2.00E-06,Low
facing wifi down since long time bhai,0.99999857,High
router not running since morning kya ho raha hai,1.93E-06,Low
wifi down pls fix since long time bhai,0.99999857,High
ping too high again since long time,1.91E-06,Low
please check net slow bhai,2.23E-06,Low
wifi down not resolved yet since long time,0.99999857,High
facing keeps dropping,1.98E-06,Low
please check internet not running yaar,0.99999845,High
unstable connection since morning since long time kya ho raha hai,1.99E-06,Low
please check dns not resolving again yaar,2.09E-06,Low
net very slow bhai,2.02E-06,Low
please check internet not working from last night kya ho raha hai,0.99999845,High
please check wifi down not resolved yet kya masla hai,0.99999845,High
please check having delay in response continuously kya ho raha hai,2.08E-06,Low
please check net slow not resolved yet,2.29E-06,Low
please check no connection again,0.99999845,High
still connection gone,0.99999845,High
router not running pls fix kya ho raha hai,1.94E-06,Low
speed is low since morning,1.92E-06,Low
no connection from last night bhai,0.99999857,High
facing buffering issue kya ho raha hai,1.96E-06,Low
facing net slow,2.10E-06,Low
please check wifi down since morning kya ho raha hai,0.99999845,High
keeps dropping pls fix kya masla hai,1.91E-06,Low
keeps dropping what is this bhai,1.91E-06,Low
facing wifi down,0.99999857,High
having router problem continuously since long time bhai,1.96E-06,Low
connection gone pls fix,0.99999857,High
buffering issue pls fix since long time bhai,1.91E-06,Low
net lagging again since long time bhai,2.24E-06,Low
lag issue what is this bhai,1.91E-06,Low
facing intrnet very slow,2.07E-06,Low
please check facing disconnecting again and again kya ho raha hai,2.09E-06,Low
unstable connection,2.02E-06,Low
net slow what is this,2.04E-06,Low
unstable connection from last night bhai,1.99E-06,Low
still speed is low since long time kya masla hai,1.97E-06,Low
dns not resolving from last night since long time bhai,1.94E-06,Low
keeps dropping what is this,1.91E-06,Low
facing data loss issue yaar,1.97E-06,Low
please check facing net lagging kya masla hai,3.05E-06,Low
packet loss happening since morning since long time yaar,1.91E-06,Low
unstable connection what is this bhai,1.97E-06,Low
cannot access sites what is this since long time,1.91E-06,Low
disconnecting again and again since morning,1.90E-06,Low
dns not resolving pls fix,1.95E-06,Low
please check having router problem continuously kya ho raha hai,2.06E-06,Low
speed is low not resolved yet bhai,1.93E-06,Low
keeps dropping again kya masla hai,1.91E-06,Low
router not functioning since morning bhai,1.94E-06,Low
buffering trouble not resolved yet since long time bhai,1.91E-06,Low
packet loss happening since morning yaar,1.91E-06,Low
keeps dropping yaar,1.93E-06,Low
please check wifi gone what is this yaar,0.99999845,High
please check having data loss issue continuously yaar,2.05E-06,Low
having keeps dropping continuously yaar,1.96E-06,Low
unstable connection again kya masla hai,1.99E-06,Low
please check wifi down from last night kya ho raha hai,0.99999845,High
keeps dropping from last night kya ho raha hai,1.91E-06,Low
buffering issue bhai,1.93E-06,Low
facing data loss problem since long time,1.96E-06,Low
wifi down pls fix kya ho raha hai,0.99999857,High
please check buffering trouble from last night kya ho raha hai,2.02E-06,Low
facing router not working bhai,2.05E-06,Low
keeps dropping since long time yaar,1.91E-06,Low
still dns not resolving yaar,2.02E-06,Low
dns not resolving since morning bhai,1.94E-06,Low
still unstable connection kya ho raha hai,2.17E-06,Low
internet gone again yaar,0.99999857,High
internet not working what is this,0.99999857,High
buffering issue since morning,1.92E-06,Low
please check unstable connection since morning kya ho raha hai,2.30E-06,Low
please check data loss issue,2.00E-06,Low
disconnecting again and again since morning,1.90E-06,Low
having internet gone continuously,0.99999845,High
wifi very slow not resolved yet since long time bhai,3.07E-06,Low
disconnecting again and again not resolved yet since long time,1.90E-06,Low
buffering trouble from last night since long time yaar,1.91E-06,Low
please check keeps dropping again bhai,2.00E-06,Low
router not functioning again since long time kya ho raha hai,1.93E-06,Low
disconnecting again and again again bhai,1.90E-06,Low
please check buffering issue not resolved yet,2.02E-06,Low
net too slow,2.03E-06,Low
please check router not working since morning,2.22E-06,Low
internet very too slow from last night,2.22E-06,Low
buffering problem pls fix since long time bhai,1.90E-06,Low
please check router problem since morning bhai,1.99E-06,Low
still data loss issue,1.98E-06,Low
disconnecting again and again what is this kya ho raha hai,1.90E-06,Low
please check still keeps dropping kya ho raha hai,2.10E-06,Low
still unstable connection,2.10E-06,Low
facing router not working bhai,2.05E-06,Low
internet not working since morning kya ho raha hai,0.99999857,High
still net slow kya ho raha hai,2.15E-06,Low
disconnecting again and again what is this,1.90E-06,Low
net very slow from last night kya ho raha hai,2.01E-06,Low
still wifi gone since long time kya masla hai,0.99999857,High
please check wifi down again kya ho raha hai,0.99999845,High
still unstable connection bhai,2.09E-06,Low
router not working yaar,1.98E-06,Low
facing dns not resolving since long time,1.99E-06,Low
router problem since long time,1.90E-06,Low
facing wifi not working bhai,0.99999857,High
please check having buffering problem continuously,2.07E-06,Low
please check facing internet not working bhai,0.99999845,High
please check router problem pls fix bhai,2.00E-06,Low
buffering issue,1.94E-06,Low
still ping too high kya masla hai,1.97E-06,Low
dns not resolving from last night since long time bhai,1.94E-06,Low
having speed is low continuously since long time,1.96E-06,Low
wifi gone from last night bhai,0.99999857,High
packet loss happening what is this since long time yaar,1.92E-06,Low
please check still lag issue,2.08E-06,Low
still packet loss happening bhai,1.97E-06,Low
facing internet gone,0.99999845,High
internet very very slow from last night bhai,2.19E-06,Low
ping too high not resolved yet since long time yaar,1.92E-06,Low
please check having unstable connection continuously yaar,2.35E-06,Low
unstable connection not resolved yet since long time kya ho raha hai,2.01E-06,Low
internet not working since morning since long time,0.99999857,High
lag issue not resolved yet since long time yaar,1.90E-06,Low
internet very slow not resolved yet since long time yaar,2.37E-06,Low
unstable connection since morning bhai,1.99E-06,Low
disconnecting again and again what is this since long time yaar,1.90E-06,Low
router not working not resolved yet since long time bhai,1.97E-06,Low
disconnecting again and again again since long time yaar,1.89E-06,Low
router problem again since long time bhai,1.90E-06,Low
please check having unstable connection continuously bhai,2.32E-06,Low
disconnecting again and again from last night since long time,1.90E-06,Low
having buffering trouble continuously since long time yaar,1.96E-06,Low
no connection what is this bhai,0.99999857,High
no connection again since long time,0.99999857,High
facing unstable connection since long time,2.06E-06,Low
please check net lagging not resolved yet,2.91E-06,Low
net lagging from last night bhai,2.38E-06,Low
please check having intrnet very lagging continuously yaar,2.41E-06,Low
please check ping too high again kya ho raha hai,2.00E-06,Low
speed is low what is this,1.92E-06,Low
please check unstable connection what is this,2.22E-06,Low
data loss issue pls fix,1.93E-06,Low
lag problem not resolved yet yaar,1.91E-06,Low
internet not working from last night since long time kya ho raha hai,0.99999857,High
lag issue pls fix kya ho raha hai,1.90E-06,Low
still wifi down bhai,0.99999857,High
please check still router problem kya masla hai,2.06E-06,Low
delay in response bhai,1.93E-06,Low
still buffering trouble since long time,1.97E-06,Low
unstable connection what is this bhai,1.97E-06,Low
having internet not working continuously yaar,0.99999845,High
still ping too high bhai,1.97E-06,Low
please check internet very slow from last night kya ho raha hai,2.69E-06,Low
please check router problem pls fix bhai,2.00E-06,Low
internet not functioning pls fix since long time bhai,0.99999857,High
please check net gone from last night kya masla hai,0.99999845,High
router not working not resolved yet since long time kya ho raha hai,1.98E-06,Low
please check dns not resolving from last night,2.09E-06,Low
internet very slow again kya ho raha hai,2.34E-06,Low
packet loss happening since morning,1.92E-06,Low
please check wifi down since morning,0.99999845,High
please check lag issue what is this,2.00E-06,Low
router not working what is this bhai,1.95E-06,Low
ping too high since morning bhai,1.92E-06,Low
lag trouble again since long time,1.90E-06,Low
please check delay in response not resolved yet yaar,2.01E-06,Low
please check wifi down pls fix yaar,0.99999845,High
lag problem since morning kya ho raha hai,1.90E-06,Low
lag trouble again,1.92E-06,Low
having internet very slow continuously since long time bhai,2.26E-06,Low
please check internet very very slow,2.41E-06,Low
buffering problem again bhai,1.91E-06,Low
please check connection very slow from last night bhai,2.32E-06,Low
speed is low since morning yaar,1.92E-06,Low
having speed is low continuously since long time yaar,1.96E-06,Low
buffering issue what is this bhai,1.91E-06,Low
buffering problem pls fix since long time bhai,1.90E-06,Low
having lag problem continuously since long time,1.95E-06,Low
buffering problem since morning bhai,1.91E-06,Low
lag problem pls fix bhai,1.90E-06,Low
please check keeps dropping since morning kya ho raha hai,2.01E-06,Low
please check still buffering problem kya masla hai,2.09E-06,Low
delay in response from last night yaar,1.92E-06,Low
no connection pls fix bhai,0.99999857,High
facing disconnecting again and again since long time yaar,1.95E-06,Low
please check disconnecting again and again again kya masla hai,2.01E-06,Low
wifi down bhai,0.99999857,High
net too slow from last night kya ho raha hai,2.01E-06,Low
still wifi down since long time yaar,0.99999857,High
delay in response from last night kya ho raha hai,1.92E-06,Low
please check cannot access sites not resolved yet,2.01E-06,Low
still speed is low since long time kya masla hai,1.97E-06,Low
buffering issue what is this kya ho raha hai,1.91E-06,Low
please check having speed is low continuously bhai,2.09E-06,Low
lag issue from last night since long time bhai,1.90E-06,Low
no connection not resolved yet since long time bhai,0.99999857,High
data loss trouble from last night since long time yaar,1.93E-06,Low
internet not working not resolved yet,0.99999857,High
having buffering trouble continuously kya masla hai,1.97E-06,Low
please check still keeps dropping kya ho raha hai,2.10E-06,Low
please check buffering trouble not resolved yet bhai,2.02E-06,Low
disconnecting again and again what is this yaar,1.90E-06,Low
keeps dropping from last night kya ho raha hai,1.91E-06,Low
intrnet gone not resolved yet since long time yaar,0.99999857,High
facing speed is low bhai,1.97E-06,Low
connection gone pls fix since long time,0.99999857,High
please check data loss problem again bhai,1.99E-06,Low
internet not functioning from last night since long time kya ho raha hai,0.99999857,High
wifi down from last night since long time,0.99999857,High
disconnecting again and again since morning since long time kya masla hai,1.90E-06,Low
data loss trouble again since long time kya ho raha hai,1.92E-06,Low
facing net lagging since long time bhai,2.34E-06,Low
please check no connection pls fix,0.99999845,High
speed is low again since long time yaar,1.91E-06,Low
facing net not working,0.99999845,High
having no connection continuously since long time,0.99999857,High
please check facing speed is low kya ho raha hai,2.11E-06,Low
buffering problem since long time,1.91E-06,Low
having cannot access sites continuously since long time bhai,1.96E-06,Low
wifi very slow again,2.84E-06,Low
router problem since morning since long time,1.90E-06,Low
having buffering problem continuously bhai,1.97E-06,Low
net slow pls fix,2.09E-06,Low
please check disconnecting again and again again,2.00E-06,Low
net slow not resolved yet since long time,2.06E-06,Low
facing ping too high kya ho raha hai,1.96E-06,Low
facing data loss issue,1.97E-06,Low
keeps dropping from last night since long time bhai,1.91E-06,Low
speed is low again,1.93E-06,Low
please check keeps dropping since morning,2.01E-06,Low
please check buffering issue since morning,2.01E-06,Low
speed is low since morning bhai,1.92E-06,Low
net lagging not resolved yet kya ho raha hai,2.54E-06,Low
dns not resolving since morning yaar,1.94E-06,Low
disconnecting again and again again bhai,1.90E-06,Low
delay in response since morning kya ho raha hai,1.92E-06,Low
please check speed is low what is this yaar,2.02E-06,Low
disconnecting again and again again yaar,1.90E-06,Low
internet very slow since morning since long time bhai,2.32E-06,Low
please check delay in response from last night bhai,2.01E-06,Low
disconnecting again and again not resolved yet since long time kya masla hai,1.91E-06,Low
please check packet loss happening kya ho raha hai,2.00E-06,Low
please check cannot access sites since morning bhai,2.01E-06,Low
lag issue pls fix yaar,1.90E-06,Low
unstable connection not resolved yet yaar,2.02E-06,Low
unstable connection pls fix bhai,2.05E-06,Low
still delay in response yaar,1.97E-06,Low
please check cannot access sites not resolved yet kya ho raha hai,2.02E-06,Low
facing internet very lagging,2.84E-06,Low
no connection what is this bhai,0.99999857,High
cannot access sites what is this kya ho raha hai,1.91E-06,Low
please check having net very slow continuously kya masla hai,2.21E-06,Low
still wifi down since long time,0.99999857,High
lag issue what is this kya ho raha hai,1.90E-06,Low
please check router not running from last night bhai,2.10E-06,Low
please check having net too slow continuously kya ho raha hai,2.24E-06,Low
wifi down from last night,0.99999857,High
internet not working not resolved yet since long time,0.99999857,High
please check data loss trouble from last night bhai,2.00E-06,Low
please check still router not wrkng yaar,2.28E-06,Low
having buffering problem continuously bhai,1.97E-06,Low
internet very lagging since morning since long time yaar,2.93E-06,Low
packet loss happening pls fix yaar,1.91E-06,Low
having speed is low continuously since long time kya ho raha hai,1.97E-06,Low
ping too high pls fix bhai,1.92E-06,Low
please check speed is low not resolved yet bhai,2.03E-06,Low
keeps dropping since morning,1.92E-06,Low
lag issue what is this since long time kya ho raha hai,1.91E-06,Low
wifi not working what is this bhai,0.99999857,High
still packet loss happening since long time yaar,1.97E-06,Low
speed is low from last night since long time yaar,1.92E-06,Low
please check having keeps dropping continuously bhai,2.08E-06,Low
lag problem not resolved yet,1.91E-06,Low
having packet loss happening continuously since long time,1.96E-06,Low
having disconnecting again and again continuously yaar,1.95E-06,Low
packet loss happening bhai,1.92E-06,Low
disconnecting again and again not resolved yet yaar,1.90E-06,Low
internet not running pls fix bhai,0.99999857,High
wifi gone pls fix kya ho raha hai,0.99999857,High
router problem from last night kya ho raha hai,1.91E-06,Low
please check buffering trouble not resolved yet kya ho raha hai,2.03E-06,Low
please check disconnecting again and again again kya ho raha hai,2.01E-06,Low
facing unstable connection since long time yaar,2.06E-06,Low
facing keeps dropping kya ho raha hai,1.96E-06,Low
buffering trouble not resolved yet since long time kya masla hai,1.91E-06,Low
please check dns not resolving what is this,2.08E-06,Low
router not working since morning yaar,1.97E-06,Low
facing unstable connection yaar,2.11E-06,Low
having unstable connection continuously yaar,2.06E-06,Low
please check having disconnecting again and again continuously kya ho raha hai,2.08E-06,Low
having speed is low continuously kya masla hai,1.97E-06,Low
still lag problem since long time,1.96E-06,Low
please check ping too high again,1.99E-06,Low
having no connection continuously since long time,0.99999857,High
please check router problem what is this,1.99E-06,Low
keeps dropping not resolved yet,1.92E-06,Low
unstable connection not resolved yet bhai,2.01E-06,Low
speed is low pls fix kya ho raha hai,1.92E-06,Low
having connection gone continuously yaar,0.99999845,High
please check facing unstable connection kya ho raha hai,2.50E-06,Low
keeps dropping from last night kya ho raha hai,1.91E-06,Low
facing keeps dropping since long time,1.95E-06,Low
keeps dropping again kya ho raha hai,1.91E-06,Low
speed is low since long time kya ho raha hai,1.92E-06,Low
having router not functioning continuously since long time,2.00E-06,Low
please check wifi down pls fix yaar,0.99999845,High
disconnecting again and again what is this bhai,1.90E-06,Low
dns not resolving what is this since long time yaar,1.94E-06,Low
facing ping too high kya ho raha hai,1.96E-06,Low
please check having internet very very slow continuously kya ho raha hai,2.52E-06,Low
having data loss problem continuously,1.97E-06,Low
keeps dropping from last night,1.91E-06,Low
please check net very slow since morning bhai,2.10E-06,Low
cannot access sites what is this bhai,1.91E-06,Low
please check cannot access sites since morning yaar,2.01E-06,Low
net not working bhai,0.99999845,High
please check buffering trouble bhai,2.02E-06,Low
wifi very slow what is this,2.82E-06,Low
still net slow yaar,2.13E-06,Low
please check wifi gone from last night bhai,0.99999845,High
no connection since morning,0.99999857,High
cannot access sites again since long time,1.91E-06,Low
please check router problem since morning,2.00E-06,Low
still cannot access sites,1.98E-06,Low
please check wifi down what is this,0.99999845,High
unstable connection pls fix since long time yaar,2.05E-06,Low
wifi down from last night bhai,0.99999857,High
facing packet loss happening kya masla hai,1.96E-06,Low
still router problem,1.99E-06,Low
connection gone not resolved yet since long time,0.99999857,High
still wifi down,0.99999857,High
still keeps dropping since long time bhai,1.96E-06,Low
please check having keeps dropping continuously kya ho raha hai,2.09E-06,Low
still router not running,2.02E-06,Low
still no connection kya ho raha hai,0.99999857,High
connection gone what is this,0.99999857,High
buffering issue what is this kya ho raha hai,1.91E-06,Low
please check facing net slow bhai,2.37E-06,Low
disconnecting again and again pls fix yaar,1.90E-06,Low
please check still dns not resolving kya ho raha hai,2.23E-06,Low
internet very slow from last night kya ho raha hai,2.36E-06,Low
keeps dropping not resolved yet yaar,1.91E-06,Low
having disconnecting again and again continuously since long time kya ho raha hai,1.95E-06,Low
please check unstable connection,2.26E-06,Low
please check net not working bhai,0.99999845,High
please check router not working pls fix bhai,2.26E-06,Low
facing wifi down kya masla hai,0.99999857,High
facing wifi down yaar,0.99999857,High
please check wifi down pls fix kya ho raha hai,0.99999845,High
facing unstable connection since long time kya ho raha hai,2.07E-06,Low
facing data loss problem kya ho raha hai,1.97E-06,Low
please check wifi down pls fix,0.99999845,High
internet very too slow from last night since long time yaar,2.21E-06,Low
net slow what is this,2.04E-06,Low
please check buffering trouble pls fix yaar,2.02E-06,Low
please check net slow what is this yaar,2.22E-06,Low
router problem from last night yaar,1.90E-06,Low
please check having connection gone continuously yaar,0.99999845,High
please check still internet very lagging bhai,3.57E-06,Low
please check having ping too high continuously bhai,2.06E-06,Low
please check net too slow since morning,2.13E-06,Low
please check still packet loss happening yaar,2.06E-06,Low
internet very slow pls fix since long time,2.41E-06,Low
buffering trouble since morning yaar,1.91E-06,Low
please check data loss problem since morning kya masla hai,2.00E-06,Low
delay in response not resolved yet,1.92E-06,Low
please check cannot access sites again yaar,2.00E-06,Low
still disconnecting again and again since long time yaar,1.96E-06,Low
still data loss issue kya ho raha hai,1.98E-06,Low
please check no connection not resolved yet,0.99999845,High
please check router not functioning again yaar,2.14E-06,Low
still internet very very slow yaar,2.22E-06,Low
buffering trouble from last night,1.91E-06,Low
wifi down since morning,0.99999857,High
packet loss happening since morning since long time yaar,1.91E-06,Low
disconnecting again and again again since long time kya ho raha hai,1.90E-06,Low
still keeps dropping bhai,1.98E-06,Low
having disconnecting again and again continuously since long time kya ho raha hai,1.95E-06,Low
dns not resolving not resolved yet yaar,1.95E-06,Low
net very slow from last night yaar,2.01E-06,Low
dns not resolving what is this,1.94E-06,Low
please check having internet gone continuously bhai,0.99999845,High
internet very lagging again kya masla hai,2.93E-06,Low
speed is low from last night yaar,1.92E-06,Low
wifi down from last night since long time bhai,0.99999857,High
router problem not resolved yet yaar,1.91E-06,Low
facing internet not wrkng since long time yaar,0.99999845,High
net slow what is this,2.04E-06,Low
facing data loss trouble since long time kya masla hai,1.97E-06,Low
keeps dropping yaar,1.93E-06,Low
unstable connection since morning yaar,2.00E-06,Low
wifi not working since morning bhai,0.99999857,High
please check data loss issue since morning,2.00E-06,Low
buffering problem again kya masla hai,1.91E-06,Low
speed is low not resolved yet bhai,1.93E-06,Low
facing wifi down,0.99999857,High
buffering trouble from last night since long time kya masla hai,1.91E-06,Low
speed is low since morning,1.92E-06,Low
please check net too slow again,2.12E-06,Low
net very slow since morning yaar,2.00E-06,Low
facing no connection since long time yaar,0.99999857,High
please check lag problem since morning bhai,2.00E-06,Low
internet not functioning since long time,0.99999857,High
keeps dropping not resolved yet,1.92E-06,Low
net gone since long time,0.99999857,High
please check internet very slow from last night,2.68E-06,Low
wifi down,0.99999857,High
wifi down from last night,0.99999857,High
packet loss happening pls fix since long time yaar,1.91E-06,Low
internet gone what is this yaar,0.99999857,High
facing cannot access sites since long time bhai,1.95E-06,Low
please check facing internet gone kya ho raha hai,0.99999845,High
please check having ping too high continuously kya ho raha hai,2.06E-06,Low
net very slow from last night bhai,2.01E-06,Low
speed is low again yaar,1.92E-06,Low
having router problem continuously yaar,1.96E-06,Low
please check keeps dropping from last night,2.01E-06,Low
please check wifi down again,0.99999845,High
packet loss happening since morning bhai,1.91E-06,Low
internet not working since morning since long time,0.99999857,High
facing keeps dropping kya ho raha hai,1.96E-06,Low
router not working what is this,1.96E-06,Low
please check no connection from last night bhai,0.99999845,High
please check buffering issue pls fix,2.01E-06,Low
disconnecting again and again from last night,1.90E-06,Low
lag trouble from last night yaar,1.90E-06,Low
data loss trouble since long time,1.92E-06,Low
net too slow from last night kya ho raha hai,2.01E-06,Low
still router not running kya ho raha hai,2.02E-06,Low
buffering trouble bhai,1.93E-06,Low
packet loss happening from last night bhai,1.92E-06,Low
facing speed is low kya ho raha hai,1.97E-06,Low
router problem since long time kya masla hai,1.90E-06,Low
data loss issue what is this since long time kya ho raha hai,1.93E-06,Low
facing intrnet gone since long time bhai,0.99999845,High
data loss issue since long time bhai,1.93E-06,Low
please check no connection not resolved yet bhai,0.99999845,High
ping too high yaar,1.92E-06,Low
keeps dropping from last night bhai,1.91E-06,Low
cannot access sites not resolved yet since long time,1.91E-06,Low
speed is low kya ho raha hai,1.92E-06,Low
speed is low again,1.93E-06,Low
facing internet gone since long time yaar,0.99999857,High
net slow pls fix bhai,2.08E-06,Low
buffering issue not resolved yet,1.92E-06,Low
delay in response from last night,1.92E-06,Low
facing internet very slow since long time kya masla hai,2.34E-06,Low
wifi down bhai,0.99999857,High
still keeps dropping since long time bhai,1.96E-06,Low
please check still internet very very slow kya ho raha hai,2.61E-06,Low
please check disconnecting again and again what is this bhai,2.01E-06,Low
please check buffering issue again kya masla hai,2.01E-06,Low
connection not working again since long time,0.99999857,High
facing net slow,2.10E-06,Low
data loss trouble pls fix,1.93E-06,Low
intrnet very slow not resolved yet since long time,2.06E-06,Low
facing unstable connection kya ho raha hai,2.14E-06,Low
keeps dropping again yaar,1.91E-06,Low
please check still internet very too slow,2.65E-06,Low
please check keeps dropping from last night kya ho raha hai,2.02E-06,Low
please check having delay in response continuously bhai,2.07E-06,Low
lag trouble kya ho raha hai,1.91E-06,Low
